"
S.No",Alloys,Pauling Electronegativity,Entropy,Mulliken Electronegativity,Atomic Mismatch,Radius Ratio,Enthalpy,Pseudo Potential Ratio,Formation,
39,AlMoNbSiTaTiVZr)50N50,1.34782,16.175151,5.045459,0.101206,0.419355,-30.9,1.84569,single-phase,
40,AlMoNbSiTaTiVZr)Nx,1.55875,15.127417,5.969625,0.171925,0.419355,-30.9,1.615625,multi-phase,
41,AlCrNbSiTiV)N,1.4496,14.626639,5.36272,0.107913,0.448276,-34.236,1.6632,single-phase,
42,(Al1.5CrNb0.5Si0.5Ti)Nx,1.378,13.380867,5.3031,0.105821,0.448276,-39.68,1.635,single-phase,
43,(Ti-Hf-Zr-V-Nb)N,1.56,13.380867,4.919,0.055007,0.419355,0.16,2.161,single-phase,
44,(Al23.1Cr30.8Nb7.7Si7.7Ti30.7)N50,1.378,13.380867,5.3031,0.105821,0.448276,-39.68,1.635,single-phase,
45,(Al29.1Cr30.8Nb11.2Si7.7Ti21.2)N50,1.378,13.380867,5.3031,0.105821,0.448276,-39.68,1.635,single-phase,
46,(Al0.34Cr0.22Nb0.11Si0.11Ti0.22)50N50,1.378,13.380867,5.3031,0.105821,0.448276,-39.68,1.635,single-phase,
47,AlCrSiNbZr)Nx,1.42,13.380867,5.3031,0.124385,0.419355,-45.28,1.684,multi-phase,
48,Al-Cr-Nb-Y-Zr-N,1.556,13.380867,4.9986,0.125703,0.351351,-12,1.988,single-phase,
49,"Al,Cr,Nb,Y,Zr)N",1.556,13.380867,4.9986,0.125703,0.351351,-12,1.988,single-phase,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
